Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1974,46.9,47.5,48,48.3,48.8,49.3,49.7,50.3,50.9,51.4,51.8,52.2
1975,52.4,52.8,53,53.2,53.5,53.9,54.5,54.7,54.9,55.3,55.6,55.8
1976,56,56.1,56.2,56.5,56.8,57.1,57.4,57.7,57.9,58.2,58.3,58.5
1977,58.9,59.5,59.8,60.3,60.6,61,61.3,61.5,61.8,61.9,62.2,62.5
1978,62.8,63.2,63.7,64.3,64.9,65.6,66,66.4,66.8,67.4,67.7,68.1
1979,68.7,69.5,70.3,71.1,71.9,72.8,73.7,74.4,75.1,75.7,76.4,77.2
1980,78.3,79.4,80.5,81.4,82.3,83.2,83.3,83.8,84.6,85.3,86.1,86.9
1981,87.5,88.5,89,89.6,90.3,91.1,92.2,92.8,93.7,93.9,94.1,94.4
1982,94.7,95,94.8,95.2,96.2,97.4,98,98.2,98.3,98.6,98.4,98
1983,98.1,98.1,98.4,99,99.5,99.8,100.1,100.5,101,101.2,101.2,101.2
1984,101.6,101.8,101.8,102.1,102.5,102.8,103.2,104.2,104.8,104.8,104.7,104.8
1985,104.9,105.4,105.9,106.3,106.7,107,107.1,107.3,107.6,107.9,108.3,108.6
1986,108.9,108.5,107.9,107.6,107.9,108.4,108.4,108.6,109.1,109.1,109.2,109.3
1987,110,110.5,111,111.6,111.9,112.4,112.7,113.3,113.8,114.1,114.3,114.2
1988,114.5,114.7,115.1,115.7,116.2,116.7,117.2,117.7,118.5,118.9,119,119.2
1989,119.7,120.2,120.8,121.8,122.5,122.8,123.2,123.2,123.6,124.2,124.4,124.6
1990,125.7,126.4,127.1,127.3,127.5,128.3,128.7,129.9,131.1,131.9,132.2,132.2
1991,132.8,132.8,133,133.3,133.8,134.1,134.3,134.6,135.2,135.4,135.8,135.9
1992,136,136.4,137,137.3,137.6,138.1,138.4,138.8,139.1,139.6,139.8,139.8
1993,140.3,140.7,141.1,141.6,141.9,142,142.1,142.4,142.6,143.3,143.4,143.3
1994,143.6,144,144.4,144.7,144.9,145.4,145.8,146.5,146.9,147,147.3,147.2
1995,147.8,148.3,148.7,149.3,149.6,149.9,149.9,150.2,150.6,151,150.9,150.9
1996,151.7,152.2,152.9,153.6,154,154.1,154.3,154.5,155.1,155.5,155.9,155.9
1997,156.3,156.8,157,157.2,157.2,157.4,157.5,157.8,158.3,158.5,158.5,158.2
1998,158.4,158.5,158.7,159.1,159.5,159.7,159.8,160,160.2,160.6,160.7,160.7
1999,161,161.1,161.4,162.7,162.8,162.8,163.3,163.8,164.7,165,165.1,165.1
2000,165.6,166.5,167.9,168,168.2,169.2,169.4,169.3,170.4,170.6,170.9,170.7
2001,171.7,172.4,172.6,173.5,174.4,174.6,173.8,173.8,174.8,174,173.7,172.9
2002,173.2,173.7,174.7,175.8,175.8,175.9,176.1,176.6,177,177.3,177.4,177
2003,177.7,179.2,180.3,179.8,179.4,179.6,179.6,180.3,181,180.7,180.2,179.9
2004,180.9,181.9,182.9,183.5,184.7,185.3,184.9,185,185.4,186.5,186.8,186
2005,186.3,187.3,188.6,190.2,190,190.1,191,192.1,195,195.2,193.4,192.5
2006,194,194.2,195.3,197.2,198.2,198.6,199.2,199.6,198.4,197,196.8,197.2
2007,197.559,198.544,200.612,202.13,203.661,203.906,203.7,203.199,203.889,204.338,205.891,205.777
2008,206.744,207.254,209.147,210.698,212.788,215.223,216.304,215.247,214.935,212.182,207.296,204.813
2009,205.7,206.708,207.218,207.925,208.774,210.972,210.526,211.156,211.322,211.549,212.003,211.703
2010,212.568,212.544,213.525,213.958,214.124,213.839,213.898,214.205,214.306,214.623,214.75,215.262
2011,216.4,217.535,220.024,221.743,222.954,222.522,222.686,223.326,223.688,223.043,222.813,222.166
2012,223.216,224.317,226.304,227.012,226.6,226.036,225.568,227.056,228.184,227.974,226.595,225.889
2013,226.52,228.677,229.323,228.949,229.399,230.002,230.084,230.359,230.537,229.735,229.133,229.174
2014,230.04,230.871,232.56,233.443,234.216,234.702,234.525,234.03,234.17,233.229,231.551,229.909
2015,228.294,229.421,231.055,231.52,232.908,233.804,233.806,233.366,232.661,232.373,231.721,230.791
2016,231.061,230.972,232.209,233.438,234.436,235.289,234.771,234.904,235.495,235.732,235.215,235.39
2017,236.854,237.477,237.656,238.432,238.609,238.813,238.617,239.448,240.939,240.573,240.666,240.526
2018,241.919,242.988,243.463,244.607,245.77,246.196,246.155,246.336,246.565,247.038,245.933,244.786
2019,245.133,246.218,247.768,249.332,249.871,249.747,250.236,250.112,250.251,250.894,250.644,250.452
2020,251.361,251.935,251.375,249.515,249.521,251.054,252.636,253.597,254.004,254.076,253.826,254.081
2021,255.296,256.843,258.935,261.237,263.612,266.412,267.789,268.387,269.086,271.552,273.042,273.925
2022,276.296,278.943,283.176,284.575,288.022,292.542,292.219,291.629,291.854,293.003,,
